date;JPY;AUD;INR
17/07/2019;-0,002682827;0,000285266;0,001545859
16/07/2019;0,003053437;0,003843148;0,002404243
15/07/2019;0;-0,002702897;-0,001986466
12/07/2019;-0,005452627;-0,00657427;0,003517992
11/07/2019;0,000368732;-0,002153162;-0,001915136
10/07/2019;-0,003589346;-0,004464615;0,000345679
9/07/2019;0,001195018;0,006330956;-0,001548062
8/07/2019;0,002302133;0,001146789;0,003465323
5/07/2019;0,006010467;0,005999161;-0,001460547
4/07/2019;9,28E-05;0,00099637;-0,005513288
3/07/2019;-0,00064908;-0,00499181;-0,000670348
2/07/2019;-0,005269739;-0,004011467;-0,00010878
1/07/2019;0,005547864;0,007722046;-0,001123372
28/06/2019;0,000556483;-0,001568181;-0,000615507
27/06/2019;0;-0,003430045;-0,001302178
26/06/2019;0,005488641;-0,003441851;-0,002707436
25/06/2019;-0,000932401;0,000287274;-5,48E-05
24/06/2019;-0,000186376;-0,00532797;-0,003400061
21/06/2019;0,000186376;-0,000433244;0,002157886
20/06/2019;-0,007428075;-0,006085211;-0,003558019
19/06/2019;-0,003232513;-0,00058148;-5,45E-05
18/06/2019;-0,000829531;-0,003495998;-0,003078964
17/06/2019;-0,000184247;0,002768672;0,001465946
14/06/2019;0,001659445;0,00623778;0,004110078
13/06/2019;-0,001106603;0,001878206;0,00237641
12/06/2019;-0,000184315;0,004895618;-0,001495637
11/06/2019;0,000645251;-0,000143647;-0,002892702
10/06/2019;0,002400297;0,005729854;0,00265948
7/06/2019;-0,001939148;-0,003433971;0,002719976
6/06/2019;-0,000553352;-0,0010038;0,000290164
5/06/2019;0,002862289;0,003008383;0
4/06/2019;0,000739987;-0,002004583;-1,88E-05
3/06/2019;-0,002033648;-0,005605476;-0,006260815
31/05/2019;-0,012207026;-0,003754517;-0,002562087
30/05/2019;0,00027371;0,000723118;0,000608403
29/05/2019;0,001918072;0,001011488;0,002151702
28/05/2019;-0,001187811;-0,000866927;0,002585004
27/05/2019;0,001827987;0,001300109;-0,000322233
24/05/2019;-0,002740729;-0,00376049;-0,007060117
23/05/2019;-0,006819138;-0,002757021;0,005012628
22/05/2019;-0,001267772;0,000145296;-0,000771928
21/05/2019;0,003989849;0,003625557;-0,00028681
20/05/2019;-0,000181703;-0,005807217;-0,007392759
17/05/2019;0,002091575;0,003488376;0,003243227
16/05/2019;0,002278424;0,005209853;-0,004381207
15/05/2019;-9,12E-05;0,002306806;-0,001669064
14/05/2019;0,002832216;0;-0,001099349
13/05/2019;-0,005929322;0,008317845;0,00899046
10/05/2019;0,001911785;-0,001858338;-0,000590638
9/05/2019;-0,003275112;-0,000143092;0,003329577
8/05/2019;-0,001452169;0,003428575;0,004060591
7/05/2019;-0,004524485;-0,00299936;0,00036014
6/05/2019;-0,003064998;0,00385467;0,002632957
3/05/2019;-0,003683576;-0,002568128;-0,002092504
2/05/2019;0,001166495;0,002140564;-0,002718038
1/05/2019;-0,000359066;0,004693175;0
30/04/2019;-0,002062134;0,00113443;-0,006627281
29/04/2019;0,000627156;-0,001986098;0
26/04/2019;-0,000448009;-0,003841507;-0,003455949
25/04/2019;-0,005004032;0;0,005619135
24/04/2019;0,002945773;0,012325721;0,003405082
23/04/2019;-0,000714924;0,004495652;-0,0005743
22/04/2019;0,000178683;0,002519951;0,004567614
19/04/2019;-0,000446648;-0,000139831;0
18/04/2019;-0,000803464;0,003907891;-0,003634209
17/04/2019;0,000535571;-0,000557336;0
16/04/2019;-0,000357079;-0,000278785;0,002644107
15/04/2019;0,000178524;0;0,003769636
12/04/2019;0,003218887;-0,006854612;0,003241222
11/04/2019;0,005838253;0,006575749;-0,002590345
10/04/2019;-0,001170381;-0,006575749;-0,002691881
9/04/2019;-0,003054535;0,000421023;-0,005396566
8/04/2019;-0,002240044;-0,003091627;0,006425937
5/04/2019;0,000626707;0,000984737;0,001047783
4/04/2019;0,001523639;0,000140598;0,010721333
3/04/2019;0,001525964;-0,005922183;-0,00470246
2/04/2019;-0,000269457;0,005781586;-0,005893065
1/04/2019;0,00441025;-0,002252253;0
29/03/2019;0,002076844;-0,003105154;-0,002761236
28/03/2019;0,001085285;0,001412629;0,006728673
27/03/2019;-0,001175673;0,007173531;0,00021781
26/03/2019;0,006074086;-0,003228753;-0,001161103
25/03/2019;0,000454773;-0,004085951;-0,000652529
22/03/2019;-0,008154435;0,004085951;0,002249393
21/03/2019;0,001083424;0,000562272;0
20/03/2019;-0,006213717;-0,003942557;-0,001976833
19/03/2019;-0,000359034;0,002254792;0,006289475
18/03/2019;-0,000448612;-0,002678133;-0,00817413
15/03/2019;-0,001971503;-0,00296841;-0,003701011
14/03/2019;0,004756145;0,004237893;-0,002681237
13/03/2019;-0,001707635;-0,001693003;-0,002460347
12/03/2019;0,001347891;-0,001695874;-0,002524425
11/03/2019;0,000359745;-0,003542335;-0,003750495
8/03/2019;-0,003681261;-0,00412489;0,002052032
7/03/2019;-0,001701366;0,002277905;-0,003991737
6/03/2019;-0,001073057;0,00736756;-0,002929475
5/03/2019;0,001252012;0,001128668;-0,005923588
4/03/2019;-0,001252012;-0,001834733;0
1/03/2019;0,004478689;0,002116702;0,002329605
28/02/2019;0,003507356;0,006183269;-0,007077868
27/02/2019;0,003700532;0,006702064;0,002511309
26/02/2019;-0,004240927;-0,002647532;0,001250275
25/02/2019;0,003337094;-0,005316185;-0,002251619
22/02/2019;-9,03E-05;-0,005203584;-0,001526807
21/02/2019;-0,001354096;0,010240673;0,001966881
20/02/2019;0,001986636;0;-0,003282531
19/02/2019;9,04E-05;-0,004896827;0
18/02/2019;0,001356914;0,001541588;0,001613243
15/02/2019;-9,05E-05;-0,004913325;0,000877855
14/02/2019;-0,004785778;-0,002254157;0,005106814
13/02/2019;0,004785778;0,00070497;0,001926929
12/02/2019;0,000905551;-0,004662013;-0,007209375
11/02/2019;0,005906155;0,003674916;-0,001841582
8/02/2019;-0,000819859;0,001832406;-0,002032747
7/02/2019;-0,001364939;0,000563142;-0,001467005
6/02/2019;9,09E-05;0,017993372;-0,000122968
5/02/2019;0,000636798;-0,001106501;-0,003313051
4/02/2019;0,003555316;0,003315836;0,007689119
1/02/2019;0,005586351;0,003167392;0,002388648
31/01/2019;-0,001376589;-0,003443292;-0,00050912
30/01/2019;-0,003296103;-0,012914156;0,00015749
29/01/2019;0,000457143;0,001536206;1,83E-05
28/01/2019;-0,001827319;0,001812479;-0,000931941
25/01/2019;-0,000821205;-0,011910741;0,001389092
24/01/2019;0,000364897;0,006743493;-0,003617727
23/01/2019;0,002100745;-0,002523484;-0,001522662
22/01/2019;-0,002739227;0,004900941;0,002258909
21/01/2019;-0,001002506;0,001256369;0,00131678
18/01/2019;0,004748;0,003481655;0,002074143
17/01/2019;0,001557133;-0,003481655;-0,002776266
16/01/2019;0,003765445;0,00459323;0,002776266
15/01/2019;0,004796172;-0,000555633;0,001549623
14/01/2019;-0,002954212;0,00249792;0,00615169
11/01/2019;0,000461021;-0,004166673;0,001188024
10/01/2019;0,00240074;-0,002089865;-0,000762371
9/01/2019;-0,005347606;-0,004192878;0,00373221
8/01/2019;0,0002759;0,001119821;0,007398836
7/01/2019;0,001933435;-0,004908502;-0,000662764
4/01/2019;0,007678469;-0,015157171;-0,006558
3/01/2019;-0,011082492;-0,003001932;0,000230829
2/01/2019;-0,007867573;0,009688066;0,010619964
1/01/2019;0,000455726;-0,000567295;-0,00486626
31/12/2018;-0,005273698;-0,000283768;-0,002506488
28/12/2018;-0,006688384;-0,001988637;-0,005790515
27/12/2018;-0,003237704;0,004681192;0,003952222
26/12/2018;0,009563407;-0,004254722;-0,000998431
25/12/2018;-0,001268346;0,001845936;0
24/12/2018;-0,006947292;-0,001277593;-0,000410494
21/12/2018;-0,000539326;0,00961274;0,006667106
20/12/2018;-0,01072588;0,000140677;-0,009868302
19/12/2018;-0,000355556;0,010077062;-0,000336597
18/12/2018;-0,002751278;-0,000278552;-0,01595357
17/12/2018;-0,004950943;-0,000975542;-0,004758418
14/12/2018;-0,002114352;0,007639457;0,002873535
13/12/2018;0,002996653;-0,000969059;-0,00459259
12/12/2018;-0,000794106;-0,001940941;0,002258867
11/12/2018;0,000441092;-0,002222841;0,007246034
