Week Return On;KO US Equity;FLR US Equity;GE US Equity;AMZN US Equity;WMT US Equity
20/07/2012;-0,00323499;0,031104528;0,005062119;0,045331746;-0,01270839
27/07/2012;0,038686226;0,037964293;0,052842655;0,039554952;0,031418685
3/08/2012;0,010248719;0,03202847;0,001909555;-0,009902242;0,000402576
10/08/2012;-0,025238154;0,027969349;0,00668063;-0,009448015;-0,01167002
17/08/2012;0,003426831;0,011181513;-0,004738098;0,036176155;-0,022937025
24/08/2012;-0,026815077;-0,021931441;-0,009526263;0,018949289;0,001666898
31/08/2012;-0,027813881;-0,029583569;-0,004326298;0,010295434;0,006795174
7/09/2012;0,013368984;0,063106796;0,042491523;0,043782978;0,016804408
14/09/2012;0,005804749;0,098630137;0,024087619;0,008219495;0,009211596
21/09/2012;-0,002360965;-0,015793849;0,018994697;-0,014544341;-0,000671141
28/09/2012;-0,002629503;-0,049324324;0,007988179;-0,012234435;-0,008730692
5/10/2012;0,017136831;0,016346837;0,018053138;0,016475307;0,01802168
12/10/2012;-0,009072058;-0,014160839;-0,027681661;-0,062473405;0,009050978
19/10/2012;-0,021710698;0,013654903;-0,020014901;-0,00973758;-0,002506266
26/10/2012;-0,009625668;-0,03236529;-0,041763473;-0,007333333;-0,006744248
2/11/2012;0,001079914;-0,059663714;0,009476641;-0,024420752;-0,031154307
9/11/2012;-0,021305286;0,002884061;-0,014547727;-0,026296994;-0,006321286
16/11/2012;0,007440066;-0,006518405;-0,040477948;-0,004772215;-0,0591896
23/11/2012;0,037472648;0,038402161;0,044168061;0,065044621;0,031897692
30/11/2012;-0,000263644;-0,013566252;0,004276948;0,0507337;0,025925926
7/12/2012;-0,005537975;0,06103994;0,015621923;0,004832375;0,003748959
14/12/2012;-0,001325908;0,013671875;0,007455704;-0,016101521;-0,048969429
21/12/2012;-0,020446097;0,036083377;-0,034231052;0,031020506;-0,001454545
28/12/2012;-0,024939008;-0,032459848;-0,021070306;-0,045695158;-0,015149308
4/01/2013;0,046983597;0,057662065;0,037179357;0,056978546;0,021446532
11/01/2013;-0,019915029;0,027094003;-0,0033025;0,03391858;-0,00622647
18/01/2013;0,021403414;0,018336818;0,043069833;0,015600508;0,008305406
25/01/2013;-0,017241379;0,043437056;0,011342396;0,043620462;-0,002890173
1/02/2013;0,013225371;-0,003481683;0,014804236;-0,066868552;0,021594203
8/02/2013;0,032765051;-0,032204162;-0,005302734;-0,011509434;0,014044545
15/02/2013;-0,034820738;0,012556898;0,035106944;0,01198702;-0,030498041
22/02/2013;0,029396045;-0,007130677;0,004297041;0,00124486;0,015873016
1/03/2013;0,004672897;-0,055269321;-0,008552863;0,001205636;0,019034091
8/03/2013;0,013436693;0,062799537;0,025009645;0,031797998;0,0179816
15/03/2013;-0,009943906;0,002643446;-0,013882506;-0,045114701;-0,007257292
22/03/2013;0,031161473;0,007133995;-0,002986903;-0,015545031;0,024551724
29/03/2013;0,00999001;0,021404373;-0,010696925;0,033908826;0,007404416
5/04/2013;-0,008902077;-0,064827378;-0,008216306;-0,041314871;0,020847254
12/04/2013;0,0249501;-0,029179429;0,023115487;0,068067951;0,02840686
19/04/2013;0,038461538;-0,10063102;-0,072892555;-0,045992597;-0,003436864
26/04/2013;-0,013127051;0,04098966;0,021150608;-0,021166257;0,009579768
3/05/2013;0,003325416;0,060659808;0,016206544;0,012715357;0,002656883
10/05/2013;-0,002130682;0,035284281;0,01462522;0,021623716;-0,004542587
17/05/2013;0,01945433;0,042965595;0,024454065;0,023783333;-0,012929395
24/05/2013;-0,016988597;-0,013783491;0,002979912;-0,03023342;-0,007191473
31/05/2013;-0,053267045;-0,007380653;-0,008922019;0,028501566;-0,031949295
7/06/2013;0,035508877;-0,005537099;0,023157153;0,028491828;0,019909139
14/06/2013;-0,025839169;-0,029589564;-0,014253014;-0,010401994;-0,019127473
21/06/2013;-0,014377789;-0,013606557;-0,006802721;-0,002299354;-0,018164819
28/06/2013;0,008802817;-0,014292837;-0,007276841;0,015839918;0,01333152
5/07/2013;0,01022189;-0,012139605;0,002157783;0,02949332;0,009665727
12/07/2013;0,012586377;0,049496501;0,022372927;0,075801035;0,032176572
19/07/2013;0,001462345;0,021954789;0,04040404;-0,007543489;0,005796728
26/07/2013;-0,01095157;-0,019732654;-0,002832241;0,022212758;-0,00102459
2/08/2013;-0,010334646;0,080032468;0,002029981;-0,024999199;0,009615385
9/08/2013;-0,001491795;-0,008266947;-0,018220184;-0,02284606;-0,023492063
16/08/2013;-0,027639442;0,003182783;-0,012367923;-0,041848886;-0,036280884
23/08/2013;-0,013572343;-0,001661882;-0,007097559;0,018222035;-0,009040615
30/08/2013;-0,008826584;-0,040102906;-0,026913284;-0,031136857;-0,006263617
6/09/2013;0,004452593;0,018130222;0,000863177;0,052957506;-0,00534393
13/09/2013;0,008865711;0,040724683;0,026771356;0,006962753;0,024383524
20/09/2013;0,018350995;0,071417944;0,009668134;0,061828679;0,019768693
27/09/2013;-0,025380711;-0,013331482;0,00166814;-0,001043181;-0,019385467
4/10/2013;-0,03125;0,011541168;0;0,009588304;-0,020979021
11/10/2013;0,015322581;0,015444553;0,014551369;-0,025548521;0,027747253
18/10/2013;0,0267408;0,057687038;0,047133812;0,058033575;0,011895215
25/10/2013;0,006446622;-0,01140044;0,012915309;0,104760573;0,004887069
1/11/2013;0,014860364;-0,018477264;0,025501262;-0,012075181;0,013012618
8/11/2013;0,011108306;0,040320427;0,019218708;-0,024211564;0,011547943
15/11/2013;0,004244694;0,018480493;0,005541903;0,053838029;0,016162134
22/11/2013;0,005221283;-0,009198589;-0,004409852;0,008505567;0,007447614
29/11/2013;-0,005936186;-0,01042859;-0,015508611;0,057237249;0,01503571
6/12/2013;0,006718089;-0,005140727;0,010500644;-0,016945277;-0,013208246
13/12/2013;-0,030400395;-0,033845756;-0,003710984;-0,007003489;-0,023267451
20/12/2013;0,020647464;0,061238133;0,019372093;0,04674162;-0,008324795
27/12/2013;0,015484515;0,004913695;0,017178838;-0,01024366;0,013431487
3/01/2014;-0,004918839;-0,007647944;-0,012574949;-0,004119775;0,00229387
10/01/2014;-0,008156204;-0,00315856;-0,01892471;0,003077389;-0,00775588
17/01/2014;-0,021181161;0,039923954;-0,014092061;0,004903687;-0,023705792
24/01/2014;-0,011201629;-0,055697745;-0,06132657;-0,030054303;-0,023231395
31/01/2014;-0,026261586;-0,019617966;0,007213383;-0,074587203;0,003493684
7/02/2014;0,003437335;0,016456029;0,002388621;0,006663135;-0,012453133
14/02/2014;0,025823452;0,031861158;0,021834566;-0,010330121;0,027661017
21/02/2014;-0,044952479;-0,006024853;-0,03108;-0,029634812;-0,035228922
28/02/2014;0,027434104;-0,018941786;0,021252544;0,04423809;0,021608315
7/03/2014;0,009162304;0,025743339;0,025911751;0,027506214;-0,001606426
14/03/2014;-0,009857328;-0,067260635;-0,039036528;0,004515401;-0,004022526
21/03/2014;0,007073618;0,030808556;0,011550731;-0,035104618;0,024501885
28/03/2014;0,01326743;-0,002740799;0,018897599;-0,061921136;-0,001182654
4/04/2014;-0,018741977;0,016359115;0,005410577;-0,045197907;0,017103013
11/04/2014;0,010727368;-0,041076487;-0,022677296;-0,034891641;-0,010477299
18/04/2014;0,054103029;0,045655969;0,044435172;0,042280178;0,015163399
25/04/2014;0,007121807;-0,0274817;0,001507983;-0,064879505;0,012361576
